	2-3 toe syndactyly	Abnormal aggressive, impulsive or violent behavior	Abnormal CNS myelination	Abnormal emotion/affect behavior	Abnormal facial shape	Abnormal hair pattern	Abnormal muscle tone	Abnormality of earlobe	Abnormality of globe size	Abnormality of movement	Abnormality of prenatal development or birth	Abnormality of the basal ganglia	Abnormality of the cerebral ventricles	Abnormality of the face	Abnormality of the foot	Abnormality of the forehead	Abnormality of the humerus	Abnormality of the liver	Abnormality of the metatarsal bones	Abnormality of the nares	Abnormality of the nervous system	Abnormality of the outer ear	Abnormality of the periorbital region	Abnormality of the philtrum	Abnormality of the thumb	Abnormality of the vasculature	Abnormality of the wrist	Absence seizures	Absent nipple	Absent speech	Adducted thumb	Aggressive behavior	Almond-shaped palpebral fissure	Anteverted nares	Anxiety	Aphasia	Arachnodactyly	Asthma	Ataxia	Atrial septal defect	Attention deficit hyperactivity disorder	Autism	Autistic behavior	Behavioral abnormality	Bilateral cryptorchidism	Bilateral sensorineural hearing impairment	Bilateral talipes equinovarus	Blepharophimosis	Brachycephaly	Breathing dysregulation	Brisk reflexes	Broad foot	Broad forehead	Broad palm	Broad-based gait	Bruxism	Bulbous nose	Cardiomyopathy	Carious teeth	Central hypotonia	Cerebral atrophy	Cervical C2/C3 vertebral fusion	Cleft palate	Cleft soft palate	Clinodactyly of the 5th finger	Clubbing of toes	Coarse facial features	Cognitive impairment	Conductive hearing impairment	Congenital microcephaly	Constipation	Craniosynostosis	Cryptorchidism	Cupped ear	Cutis marmorata	Deeply set eye	Delayed eruption of teeth	Delayed gross motor development	Delayed skeletal maturation	Delayed speech and language development	Dental crowding	Depressed nasal bridge	Depressivity	Developmental regression	Dolichocephaly	Downslanted palpebral fissures	Downturned corners of mouth	Drooling	Dysplastic corpus callosum	Dystonia	Dystrophic toenail	Edema of the dorsum of feet	Edema of the dorsum of hands	Edema of the lower limbs	EEG abnormality	Enuresis nocturna	Epicanthus	Everted lower lip vermilion	Everted upper lip vermilion	Exaggerated cupid's bow	Excessive daytime sleepiness	Expressive language delay	Failure to thrive	Fatigable weakness	Febrile seizures	Feeding difficulties	Feeding difficulties in infancy	Finger joint hypermobility	Flexion contracture	Frontal bossing	Frontal upsweep of hair	Full cheeks	Gastroesophageal reflux	Generalized hypotonia	Generalized myoclonic seizures	Generalized neonatal hypotonia	Generalized tonic seizures	Generalized tonic-clonic seizures with focal onset	Global developmental delay	Growth delay	Gynecomastia	Hand clenching	Headache	Hemangioma	Hemifacial hypoplasia	Hepatic steatosis	High anterior hairline	High forehead	High palate	Highly arched eyebrow	Hip dislocation	Hip dysplasia	Hydrocephalus	Hyperkeratosis	Hypermetropia	Hypertelorism	Hypertonia	Hypodontia	Hypomimic face	Hypoplasia of the corpus callosum	Hypoplastic philtrum	Hypotelorism	Hypothyroidism	Immunodeficiency	Impaired social interactions	Inappropriate behavior	Increased body weight	Increased serum lactate	Infantile axial hypotonia	Infantile muscular hypotonia	Intellectual disability	Intellectual disability, mild	Intellectual disability, moderate	Intellectual disability, profound	Intellectual disability, severe	Intention tremor	Intrauterine growth retardation	Inverted nipples	Involuntary movements	Joint contracture of the hand	Joint hypermobility	Joint laxity	Kyphoscoliosis	Labial hypertrophy	Large earlobe	Large forehead	Laryngomalacia	Leukonychia	Long eyelashes	Long face	Long fingers	Long palpebral fissure	Long toe	Low posterior hairline	Low-set ears	Low-set nipples	Macrocephaly	Macrodontia	Macrodontia of permanent maxillary central incisor	Macrotia	Malar flattening	Mandibular prognathia	Melanocytic nevus	Metatarsus adductus	Microcephaly	Micrognathia	Micropenis	Mild global developmental delay	Mild intrauterine growth retardation	Moderate global developmental delay	Motor delay	Multicystic kidney dysplasia	Multiple renal cysts	Muscular hypotonia	Myopathic facies	Narrow forehead	Narrow mouth	Narrow palate	Neonatal hypotonia	Obesity	Open mouth	Overfolded helix	Overgrowth	Ovoid vertebral bodies	Pectus carinatum	Pectus excavatum	Periventricular leukomalacia	Pes cavus	Pili torti	Plagiocephaly	Pointed chin	Posteriorly rotated ears	Postnatal growth retardation	Postnatal microcephaly	Premature ovarian insufficiency	Progressive flexion contractures	Progressive microcephaly	Prominent fingertip pads	Protruding ear	Proximal placement of thumb	Psychomotor deterioration	Psychosis	Ptosis	Pulmonic stenosis	Recurrent infections	Recurrent respiratory infections	Recurrent urinary tract infections	Respiratory insufficiency	Resting tremor	Retrognathia	Scapulohumeral muscular dystrophy	Scoliosis	Scrotal hypoplasia	Seizures	Severe global developmental delay	Severe muscular hypotonia	Short chin	Short digit	Short femur	Short finger	Short foot	Short middle phalanx of the 4th finger	Short middle phalanx of the 5th finger	Short neck	Short nose	Short palm	Short philtrum	Short stature	Single transverse palmar crease	Sleep apnea	Sleep disturbance	Small forehead	Small nail	Spasticity	Specific learning disability	Stereotypy	Strabismus	Submucous cleft hard palate	Supernumerary nipple	Supravalvular aortic stenosis	Synophrys	Tall stature	Tapered finger	Telecanthus	Tented upper lip vermilion	Tetralogy of Fallot	Thick hair	Thick lower lip vermilion	Thick upper lip vermilion	Thin upper lip vermilion	Tongue thrusting	Tremor	Truncal obesity	Turricephaly	Typical absence seizures	Underdeveloped supraorbital ridges	Unilateral narrow palpebral fissure	Unilateral strabismus	Uplifted earlobe	Upslanted palpebral fissure	Ventricular septal defect	Ventriculomegaly	Vomiting	Wide mouth	Wide nasal bridge	Wide nose	Widely spaced teeth
ACTL6B	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
AGAP6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ANKRD31	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF10L	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ATP8B1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1
BTBD9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1I	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1
CDKL5	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1
CHD4	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0
CHRNA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
